Fall,College,Major Name,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,Year Total,StudentsPerPop,StudentsPer100
1980,Applied Health Sciences,Biology,0,0,0,19,10,9,0,17,0,1,1,0,0,0,0,0,0,3615,3615,21542,0.00088199796,0.088199796
1980,Applied Health Sciences,HEALTH&SAF,0,0,0,8,4,4,0,8,0,0,0,0,0,0,0,0,0,3605,3605,21542,0.00037136756,0.037136756
1980,Applied Health Sciences,HLTH EDUC,0,0,0,65,12,53,0,53,1,10,1,0,0,0,0,0,0,3605,3605,21542,0.00301736143,0.301736143
1980,Applied Health Sciences,Kinesiology,0,0,0,268,125,143,2,240,1,8,3,1,0,0,13,0,0,7230,7230,21542,0.01244081329,1.244081329
1980,Applied Health Sciences,Leisure Studies,0,0,0,52,28,24,0,44,0,2,0,1,0,0,5,0,0,7250,7250,21542,0.00241388915,0.241388915
1980,Applied Health Sciences,MOTOR DEV,0,0,0,33,3,30,0,33,0,0,0,0,0,0,0,0,0,3615,3615,21542,0.00153189119,0.153189119
1980,Applied Health Sciences,MOTOR P&SP,0,0,0,28,14,14,0,27,0,0,0,1,0,0,0,0,0,3615,3615,21542,0.00129978646,0.129978646
1980,Applied Health Sciences,OUTDR REC,0,0,0,41,17,24,1,40,0,0,0,0,0,0,0,0,0,3625,3625,21542,0.00190325875,0.190325875
1980,Applied Health Sciences,PROG MANAG,0,0,0,97,32,65,0,86,1,10,0,0,0,0,0,0,0,3625,3625,21542,0.00450283168,0.450283168
1980,Applied Health Sciences,PROG SPEC,0,0,0,8,2,6,0,8,0,0,0,0,0,0,0,0,0,3625,3625,21542,0.00037136756,0.037136756
1980,Applied Health Sciences,SCH HEALTH,0,0,0,18,2,16,0,17,0,1,0,0,0,0,0,0,0,3605,3605,21542,0.00083557701,0.083557701
1980,Applied Health Sciences,SOC SCI SP,0,0,0,13,8,5,0,12,0,1,0,0,0,0,0,0,0,3615,3615,21542,0.00060347229,0.060347229
1980,Applied Health Sciences,TCH KINES,0,0,0,8,3,5,0,7,0,1,0,0,0,0,0,0,0,3615,3615,21542,0.00037136756,0.037136756
1980,Applied Health Sciences,THER REC,0,0,0,86,6,80,0,83,1,1,0,1,0,0,0,0,0,3625,3625,21542,0.00399220128,0.399220128
1980,Applied Life Sciences,Community Health,0,0,698,46,18,28,2,33,1,3,1,0,0,0,6,0,0,7210,7210,21542,0.00213536348,0.213536348
1980,Aviation,Air Systems,0,0,0,172,152,20,0,2,4,1,162,3,0,0,7,0,0,5210,5210,21542,0.00798440256,0.798440256
1980,Aviation,Avionics,0,0,0,8,8,0,1,0,0,0,7,0,0,0,0,0,0,5210,5210,21542,0.00037136756,0.037136756
1980,Aviation,Professional Pilot,0,0,487,14,10,4,0,1,1,0,12,0,0,0,1,0,0,5210,5210,21542,0.00064989323,0.064989323
1980,Business,Accountancy,0,0,0,146,928,601,5,102,43,63,9,4,0,0,35,0,0,3410,3410,21542,0.00677745799,0.677745799
1980,Business,Business Administration,0,0,79,409,831,583,5,1207,26,90,15,5,0,0,66,0,0,3439,3439,21542,0.01898616656,1.898616656
1980,Business,Computer Science,0,0,224,217,177,40,2,147,19,1,1,0,0,0,47,0,0,4434,4434,21542,0.01007334509,1.007334509
1980,Business,Economics,0,0,148,160,117,43,0,111,2,5,1,2,0,0,39,0,0,3440,3440,21542,0.00742735122,0.742735122
1980,Business,Finance,0,0,0,536,352,184,2,495,8,9,4,2,0,0,16,0,0,3444,3444,21542,0.02488162659,2.488162659
1980,Business,MARKETING,0,0,0,54,24,30,0,50,0,3,1,0,0,0,0,0,0,1733,1733,21542,0.00250673104,0.250673104
1980,Business,Teaching of Spanish,0,0,594,30,2,28,0,28,0,0,2,0,0,0,0,0,0,6544,6544,21542,0.00139262835,0.139262835
1980,Business,Theatre,0,0,486,122,56,66,1,117,0,2,0,0,0,0,2,0,0,7290,7290,21542,0.00566335531,0.566335531
1980,Business,UNASSIGNED,0,0,0,611,341,270,0,550,13,31,12,3,0,0,2,0,0,1701,1701,21542,0.02836319747,2.836319747
1980,Education,BUS EDUC,0,0,0,33,13,20,0,31,0,2,0,0,0,0,0,0,0,2040,2040,21542,0.00153189119,0.153189119
1980,Education,ED POL ST,0,0,0,56,31,25,1,35,0,3,1,0,0,0,16,0,0,2024,2024,21542,0.00259957293,0.259957293
1980,Education,ED SEC&CON,0,0,0,115,48,67,3,78,5,4,4,0,0,0,21,0,0,2020,2020,21542,0.00533840869,0.533840869
1980,Education,EDUC ELEMENTARY,0,0,0,129,26,103,6,90,2,9,4,1,0,0,17,0,0,2020,2020,21542,0.00598830192,0.598830192
1980,Education,EDUC GEN,0,0,0,116,32,84,0,106,2,6,1,1,0,0,0,0,0,2001,2001,21542,0.00538482964,0.538482964
1980,Education,EDUC IDISC,0,0,0,5,2,3,0,2,0,2,0,0,0,0,1,0,0,2001,2001,21542,0.00023210473,0.023210473
1980,Education,Early Childhood Education,0,0,0,78,0,78,0,75,1,2,0,0,0,0,0,0,0,2020,2020,21542,0.00362083372,0.362083372
1980,Education,Ed Organization and Leadership,0,0,0,135,65,70,11,107,1,11,1,0,0,0,4,0,0,2004,2004,21542,0.00626682759,0.626682759
1980,Education,Educ Voc Tech,0,0,0,120,59,61,4,92,0,9,2,2,0,0,11,0,0,2040,2040,21542,0.00557051342,0.557051342
1980,Education,Educational Psychology,0,0,0,156,65,91,7,111,6,11,6,1,0,0,14,0,0,2014,2014,21542,0.00724166744,0.724166744
1980,Education,Elementary Education,0,0,0,428,33,395,0,410,1,4,4,5,0,0,4,0,0,2020,2020,21542,0.01986816452,1.986816452
1980,Education,Special Education,0,0,0,105,18,87,3,92,1,2,2,0,0,0,5,0,0,4070,4070,21542,0.00487419924,0.487419924
1980,Education,TCH ENGL,0,0,0,12,3,9,0,12,0,0,0,0,0,0,0,0,0,2020,2020,21542,0.00055705134,0.055705134
1980,Education,TCH GEN SCIENCE,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2020,2020,21542,0.00009284189,0.009284189
1980,Education,TCH LIFE SCI,0,0,0,9,5,4,0,9,0,0,0,0,0,0,0,0,0,2020,2020,21542,0.00041778851,0.041778851
1980,Education,TCH PHYS SCI,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,2020,2020,21542,0.00009284189,0.009284189
1980,Education,TCH SOC ST,0,0,0,32,15,17,0,30,0,2,0,0,0,0,0,0,0,2020,2020,21542,0.00148547024,0.148547024
1980,Education,TECH ED SP,0,0,0,50,33,17,0,48,0,0,0,1,0,0,1,0,0,2040,2040,21542,0.00232104726,0.232104726
1980,Engineering,Aero & Astro Engineering,0,0,396,379,351,28,0,339,16,7,3,1,0,0,13,0,0,8820,8820,21542,0.01759353820,1.75935382
1980,Engineering,Agricultural Engineering,0,0,0,106,93,13,0,93,1,0,0,0,0,0,12,0,0,4530,6603,21542,0.00492062018,0.492062018
1980,Engineering,CER ENGR,0,0,0,156,125,31,1,137,4,1,3,0,0,0,10,0,0,8952,8952,21542,0.00724166744,0.724166744
1980,Engineering,CERAMICS,0,0,0,4,4,0,0,3,0,0,0,0,0,0,1,0,0,2238,2238,21542,0.00018568378,0.018568378
1980,Engineering,Civil Engineering,0,0,424,902,792,110,4,733,14,12,12,3,0,0,124,0,0,8880,8880,21542,0.04187169251,4.187169251
1980,Engineering,Computer Engineering,0,0,218,286,252,34,0,251,17,8,2,3,0,0,5,0,0,4450,4450,21542,0.01327639031,1.327639031
1980,Engineering,Computer Science,0,0,336,480,367,113,1,429,24,14,1,1,0,0,10,0,0,6651,6651,21542,0.02228205366,2.228205366
1980,Engineering,ENGR MECH,0,0,0,34,28,6,0,32,1,1,0,0,0,0,0,0,0,6780,6780,21542,0.00157831213,0.157831213
1980,Engineering,ENGR PHYS,0,0,0,105,97,8,0,98,2,2,2,0,0,0,1,0,0,6765,6765,21542,0.00487419924,0.487419924
1980,Engineering,ENV ENGR,0,0,0,33,27,6,0,26,1,0,0,0,0,0,6,0,0,2220,2220,21542,0.00153189119,0.153189119
1980,Engineering,ENV SCI,0,0,0,5,5,0,0,3,0,0,0,0,0,0,2,0,0,2220,2220,21542,0.00023210473,0.023210473
1980,Engineering,Electrical Engineering,0,0,460,392,372,148,4,301,118,50,16,2,0,0,79,0,0,8900,8900,21542,0.01819701049,1.819701049
1980,Engineering,GEN ENGR,0,0,0,618,485,133,0,583,12,14,7,1,0,0,1,0,0,8920,8920,21542,0.02868814409,2.868814409
1980,Engineering,Industrial Engineering,0,0,0,188,130,58,0,157,7,12,5,1,0,0,6,0,0,8960,8960,21542,0.00872713768,0.872713768
1980,Engineering,METAL ENGR,0,0,0,190,159,31,1,144,6,1,2,1,0,0,35,0,0,6714,6714,21542,0.00881997957,0.881997957
1980,Engineering,Mechanical Engineering,0,0,0,1012,934,78,3,887,42,17,12,2,0,0,49,0,0,8960,8960,21542,0.04697799647,4.697799647
1980,Engineering,Nuclear Engineering,0,0,0,187,178,9,0,145,8,3,3,1,0,0,27,0,0,6759,6759,21542,0.00868071674,0.868071674
1980,Engineering,Theoretical & Applied Mechans,0,0,0,50,46,4,0,26,6,0,0,0,0,0,18,0,0,2260,2260,21542,0.00232104726,0.232104726
1980,Fine and Applied Arts,Architectural Studies,0,0,0,627,474,153,0,567,21,13,9,3,0,0,14,0,0,2405,2405,21542,0.02910593260,2.91059326
1980,Fine and Applied Arts,Architecture,0,0,0,186,154,32,5,143,4,2,4,2,0,0,26,0,0,7215,7215,21542,0.00863429579,0.863429579
1980,Fine and Applied Arts,Art Education,0,0,0,72,13,59,0,69,1,0,1,0,0,0,1,0,0,4820,4820,21542,0.00334230805,0.334230805
1980,Fine and Applied Arts,Art History,0,0,0,59,14,45,0,58,0,1,0,0,0,0,0,0,0,4820,4820,21542,0.00273883576,0.273883576
1980,Fine and Applied Arts,Art and Design,0,0,0,363,115,248,3,333,10,6,1,1,0,0,9,0,0,12050,12050,21542,0.01685080308,1.685080308
1980,Fine and Applied Arts,Crafts,0,0,0,20,5,15,0,20,0,0,0,0,0,0,0,0,0,2410,2410,21542,0.00092841890,0.09284189
1980,Fine and Applied Arts,Dance,0,0,0,41,5,36,0,38,1,0,1,1,0,0,0,0,0,4836,4836,21542,0.00190325875,0.190325875
