Subject,Number,Primary Instructor,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance,F_cum,D-_cum,D_cum,D+_cum,C-_cum,C_cum,C+_cum,B-_cum,B_cum,B+_cum,A-_cum,A_cum,A+_cum,25PCT,25_percent,75PCT,75_percent,12.5PCT,12.5_percent,87.5PCT,87.5_percent
PHYS,212,"Pakey, Donald D",University Physics: Elec & Mag,6,9,3,9,5,7,4,9,6,4,3,5,2,3,72,2.551111111,1.114913546,2.777777778,9.722222222,13.88888889,19.44444444,27.77777778,40.27777778,45.83333333,55.55555556,62.5,75,79.16666667,91.66666667,100,C-_cum,1.67,A-_cum,3.67,D_cum,1,A_cum,4
PHYS,212,"Stelzer, Timothy J",University Physics: Elec & Mag,677,546,332,351,386,390,359,349,276,189,132,187,57,17,4231,2.832101158,1.053639847,1.347199244,5.766958166,8.886787993,13.35381706,19.87709761,28.1257386,36.61073032,45.82840936,54.9515481,63.24745923,71.09430395,83.9990546,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Willenbrock, Scott S",University Physics: Elec & Mag,66,67,73,104,97,61,59,23,15,7,3,2,2,2,579,3.147271157,0.497009425,0.345423143,0.690846287,1.208981002,2.417962003,5.008635579,8.981001727,19.17098446,29.70639033,46.45941278,64.42141623,77.02936097,88.60103627,100,B-_cum,2.67,A-_cum,3.67,C+_cum,2.33,A_cum,4
PHYS,212,"Yang, Liang",University Physics: Elec & Mag,73,57,49,72,66,39,25,20,5,9,4,0,0,1,419,3.256062053,0.519757046,0,0,0.954653938,3.102625298,4.295942721,9.069212411,15.03579952,24.34367542,40.09546539,57.27923628,68.97374702,82.57756563,100,B_cum,3,A_cum,4,C+_cum,2.33,A+_cum,4
PHYS,213,"Budakian, Raffi",Univ Physics: Thermal Physics,103,134,151,180,213,176,191,158,142,49,62,55,57,8,1671,2.616804309,0.837245267,3.411131059,6.702573309,10.41292639,13.34530221,21.84320766,31.29862358,42.72890485,53.26152005,66.00837822,76.78037104,85.81687612,93.83602633,100,C_cum,2,B+_cum,3.33,D+_cum,1.33,A_cum,4
PHYS,213,"Clegg, Robert M",Univ Physics: Thermal Physics,14,16,24,29,42,28,36,25,19,17,8,5,6,1,269,2.620743494,0.752433727,2.230483271,4.089219331,7.063197026,13.38289963,20.44609665,29.73977695,43.12267658,53.53159851,69.14498141,79.92565056,88.84758364,94.79553903,100,C_cum,2,B+_cum,3.33,D+_cum,1.33,A-_cum,3.67
PHYS,213,"Eckstein, James N",Univ Physics: Thermal Physics,171,221,120,101,185,144,90,95,89,32,38,29,19,2,1334,2.947923538,0.874311797,1.424287856,3.5982009,6.446776612,8.845577211,15.51724138,22.63868066,29.38530735,40.17991004,54.04797601,61.6191904,70.61469265,87.1814093,100,C+_cum,2.33,A_cum,4,C-_cum,1.67,A+_cum,4
PHYS,213,"Gadway, Bryce",Univ Physics: Thermal Physics,59,64,40,64,69,60,24,29,20,20,9,11,16,0,485,2.906,0.795266524,3.298969072,5.567010309,7.422680412,11.54639175,15.67010309,21.64948454,26.59793814,38.96907216,53.19587629,66.39175258,74.63917526,87.83505155,100,C+_cum,2.33,A_cum,4,C-_cum,1.67,A_cum,4
PHYS,213,"Halfpap, Bradford L",Univ Physics: Thermal Physics,9,10,8,5,10,5,2,2,6,0,0,2,3,1,62,2.99,0.777785484,4.838709677,8.064516129,8.064516129,8.064516129,17.74193548,20.96774194,24.19354839,32.25806452,48.38709677,56.4516129,69.35483871,85.48387097,100,B-_cum,2.67,A_cum,4,C-_cum,1.67,A+_cum,4
PHYS,213,"Hassani, Sadri D",Univ Physics: Thermal Physics,36,28,36,31,24,36,35,40,29,10,8,12,8,0,333,2.699069069,0.91010817,2.402402402,6.006006006,8.408408408,11.41141141,20.12012012,32.13213213,42.64264264,53.45345345,60.66066066,69.96996997,80.78078078,89.18918919,100,C_cum,2,A-_cum,3.67,C-_cum,1.67,A_cum,4
